#prob      #exp      #gen     |sol|    tiempo
    1     66296    129512        42     16.06
    2     32470     62702        45      8.42
    3     48443     91053        42     12.17
    4    142928    272445        41     35.01
    5    191088    363345        44     43.46
    6    154019    291486        46     32.56
    7    273541    516079        53     46.85
    8    179269    335095        47     22.37
    9    486106    918183        46     58.83
   10    330838    629125        46     38.83

   
