 #p t-2 #calls       #exp       #gen time
  0  42     8     262910     540859 0.01 
  1  45     6     269708     546343 0.01 
  2  42     7     440711     877822 0.02 
  3  41     7     456931     927211 1.02 
  4  44     7     495186    1002926 0.02 
  5  46     6     630900    1280494 0.03 
  6  53     5     672665    1337339 0.03 
  7  47     7     700936    1411293 0.04 
  8  46     7     792051    1599908 0.04 
  9  46     8     810906    1650695 0.04 
 10  56     6     962130    1897727 0.04 
 11  49     6     941392    1905022 0.05 
 12  47     7    1102713    2196592 0.05 
 13  45     6    1127558    2304425 0.06 
 14  50     7    1200815    2351810 0.05 
 15  44     7    1338135    2725455 0.06 
 16  49     7    1602329    3222275 0.07 
 17  52     9    3074175    5934441 0.11 
 18  51     7    3142992    6158732 0.11 
 19  45     8    3490584    7096849 0.12 
 20  50     9    3578954    7115966 1.12 
 21  50     8    3649912    7171136 0.13 
 22  50     8    4448777    8841526 0.15 
 23  44     8    4378098    8885971 0.15 
 24  53     8    5079292    9982568 0.17 
 25  53     7    5574437   10907149 0.18 
 26  56     8    5679874   11020324 1.18 
 27  46     6    5940101   11861704 0.20 
 28  49     8    6297113   12808563 0.21 
 29  51     8    6409343   12955403 0.21 
 30  55     7    7855093   15300441 0.25 
 31  49     9    8021592   15971318 1.25 
 32  52     9    8917079   17954869 0.28 
 33  42    10    8674989   17984050 0.28 
 34  54    11    9699545   18918268 0.30 
 35  47     9    9386275   18997680 1.29 
 36  49     8    9620772   19355805 0.30 
 37  52     9   10316663   20671551 0.33 
 38  49     8   10966754   22119319 1.41 
 39  57     8   11931022   23540412 0.37 
 40  55     7   12208396   23711066 1.50 
 41  53     7   12648340   24492851 0.50 
 42  56     7   13540271   26622862 1.45 
 43  52     9   15925226   32201659 0.58 
 44  50    10   19393936   39118936 1.79 
 45  64     9   21922115   41124766 1.71 
 46  54    11   21373350   42693208 0.65 
 47  48    10   20744090   42772588 1.63 
 48  55     9   24383762   47506055 1.71 
 49  54    10   25392109   51501543 0.78 
 50  52     9   30328909   59802601 1.92 
 51  56     8   31801392   62643178 1.96 
 52  53     8   31134487   63036421 1.95 
 53  54    10   31784360   63276187 1.98 
 54  51    11   32102319   64367798 1.98 
 55  52    10   32313756   64926493 1.04 
 56  49    10   31962611   65533431 1.97 
 57  54     9   33861969   67880055 1.03 
 58  57    10   43530124   83477693 2.25 
 59  50    10   47157847   95733124 1.48 
 60  52    11   51116860  100734843 2.51 
 61  55    10   53909237  106074302 1.64 
 62  53     9   54839059  109562358 2.69 
 63  54     9   59289712  117076110 2.78 
 64  57     9   62619586  126638416 1.84 
 65  57     8   67417331  132945855 3.01 
 66  57     8   76858577  150346071 2.27 
 67  52    12   74952369  151042570 2.26 
 68  54     9   83006840  166571020 2.45 
 69  54    11   90593519  183526882 3.75 
 70  59     9   99185529  198758702 3.97 
 71  56     9  110299077  220374384 3.28 
 72  58    10  117276312  226668644 4.33 
 73  50    12  124641603  252783877 4.80 
 74  54    11  130984183  257064809 4.99 
 75  51    11  128674681  260054151 3.86 
 76  57     9  140036828  276361932 4.06 
 77  58    10  142413454  280078790 5.14 
 78  53    11  150045862  306123420 4.56 
 79  56    10  187386023  377141880 6.62 
 80  52    12  193237081  387138093 6.85 
 81  64     8  238335426  465225697 7.92 
 82  60    10  248230794  480637866 7.19 
 83  62    10  284143709  543598066 8.11 
 84  59    10  284774139  565994202 8.36 
 85  57     9  306699931  602886857 9.84 
 86  66    11  325709977  607399559 9.89 
 87  59     9  338905602  661041935 10.66 
 88  59    10  374563071  750745754 11.23 
 89  56     9  480960627  995472711 15.32 
 90  56    10  517762902 1031641139 15.85 
 91  57    11  557396187 1101072540 16.30 
 92  55    14  604195859 1199487995 18.90 
 93  57    12  603096642 1207520463 18.03 
 94  59    10  697060338 1369596777 21.32 
 95  59    14  924525500 1809933697 27.90 
 96  61    11 1002332934 1957191377 29.66 
 97  66    10 1707496297 3337690330 50.49 
 98  62    12 2795752027 5506801122 81.60 
 99  65    12 3239494862 6320047979 94.79 
