#p t-2 #calls       #gen time
  1  43  67    1542290 0.02 
  2  44  38     181955 0.00 
  3  41  36     123137 0.00 
  4  42  59     648093 0.01 
  5  45  41    2122413 0.03 
  6  45  20     262034 0.00 
  7  56   3      45456 0.00 
  8  46  47     826113 0.01 
  9  49  61   11474089 0.15 
 10  47  63    4392306 0.06 
 11  59  38    5367516 0.07 
 12  50  13     508013 0.01 
 13  46  60    3286234 0.05 
 14  44  23    1544136 0.02 
 15  51  47     330877 0.00 
 16  45  59    3410223 0.05 
 17  48  29     758545 0.01 
 18  53  59    4358809 0.06 
 19  50  32     927532 0.01 
 20  44  79    6926152 0.09 
 21  51  81   13329778 1.18 
 22  51  59    6325685 0.08 
 23  49  51    1722174 0.02 
 24  45  89   17860639 0.27 
 25  54  49    1865710 0.03 
 26  54  24    1493204 0.02 
 27  57  50    6084890 0.09 
 28  47  43   47347601 1.70 
 29  50  83  121047841 1.67 
 30  50  60   10320716 1.15 
 31  56  17    6411140 0.10 
 32  50  82   44205492 0.59 
 33  53  57   25350454 1.35 
 34  43 131   63000275 0.88 
 35  55  91   19097797 1.28 
 36  46  76   13174488 0.18 
 37  48  66    8686828 0.12 
 38  51  53    2324853 0.03 
 39  50  66   13805421 0.18 
 40  58  43   11908873 0.15 
 41  56  26    2448332 0.03 
 42  52  48    2548599 0.04 
 43  55  30    5326185 1.08 
 44  51  67    4367843 0.06 
 45  51  96   30473831 0.43 
 46  67  50    4364720 0.06 
 47  53  95   20322906 0.29 
 48  47  98   74486901 1.11 
 49  54  40   16760314 1.23 
 50  53  84   28110048 0.41 
 51  51  85   15716993 0.24 
 52  59  55  237467597 3.07 
 53  56  85   47110852 1.63 
 54  53  94   63942003 1.88 
 55  50 109   38855935 0.53 
 56  51  76   15958456 1.21 
 57  50 116   61289047 0.80 
 58  55  73   64742418 1.84 
 59  56  80   34679583 1.46 
 60  51  98   63424627 1.84 
 61  51 111   21278843 0.29 
 62  54  73   62177761 1.83 
 63  54 101  227803267 3.16 
 64  53  74   63855587 1.97 
 65  58  72  117195437 2.92 
 66  58  40   21626344 0.42 
 67  58  53    5281885 0.09 
 68  53 121  148515565 3.71 
 69  55  85   74227246 1.95 
 70  55 108  155189497 2.37 
 71  60  66  121986893 3.33 
 72  57  88   92500620 1.23 
 73  57  67   14269984 0.20 
 74  49 139  212835037 3.87 
 75  55 118   83558492 1.11 
 76  50 107  213187738 3.02

 largo total: 3914
expansiones totales: 2952287168

promedio de largo por problema 58.417910447761194
promedio de expansiones por problema 44063987.58208955
