 #p t-2 #calls       #gen time
  1  45  75    1577400 0.02 
  2  48  39     231236 0.00 
  3  43  45     337885 0.01 
  4  42  61     779775 0.01 
  5  45  33    1120781 0.02 
  6  45   3      23065 0.00 
  7  58   3      94454 0.00 
  8  46  51     950220 0.01 
  9  49  70   10324586 0.14 
 10  47  65    2347688 0.03 
 11  61  60   25869534 0.34 
 12  50   6     586049 0.01 
 13  50  65    2752559 0.04 
 14  44  18     783746 0.01 
 15  51  38     106600 0.00 
 16  45  57    1970991 0.03 
 17  52  22     122368 0.00 
 18  55  82    9991620 1.13 
 19  52  23     336504 0.00 
 20  44  87    7118671 0.09 
 21  51  96   14162634 0.18 
 22  51  74    9495575 0.12 
 23  49  69    4342456 0.06 
 24  45 100   17311049 0.22 
 25  54  45     512945 0.01 
 26  54  12     550614 0.01 
 27  59  61    6664929 0.09 
 28  47  40   45086704 1.57 
 29  50 104  111049405 1.53 
 30  50  70   12168212 1.17 
 31  56   2     532459 0.01 
 32  50  94   29364232 0.48 
 33  53  57   12428018 0.19 
 34  45 137   68640512 1.00 
 35  57 120   41945547 1.60 
 36  46  80    9148820 0.13 
 37  48  66    5213916 0.08 
 38  51  59    1477624 0.02 
 39  50  70    6541793 0.10 
 40  58  47    8465966 0.11 
 41  56  26    3848358 0.05 
 42  52  46    1250878 0.02 
 43  59  33    6622426 0.10 
 44  51  80    4844092 1.07 
 45  51 119   44244678 0.61 
 46  67  67    6485438 0.09 
 47  53 110   12111514 0.17 
 48  47 106   52873901 1.74 
 49  54  42   18423492 0.27 
 50  53 105   18855460 1.24 
 51  51  96   11207812 0.16 
 52  59  49   62847749 1.83 
 53  56  98   26237996 0.35 
 54  55 110   28452261 0.39 
 55  50 134   64417154 1.87 
 56  51 104   34737159 1.45 
 57  50 130   42870406 0.55 
 58  55  84   31168665 1.41 
 59  58 115   47582235 0.63 
 60  51 109   48574451 1.65 
 61  51 127   10224867 0.14 
 62  56  86   30708759 0.40 
 63  56 129  181812448 3.38 
 64  55  81   30716172 0.56 
 65  58  85   74037527 1.06 
 66  58  39   11279544 1.15 
 67  58  43    1017267 0.02 
 68  53 133   68058245 2.00 
 69  55 104   41606826 0.56 
 70  55 125   77223879 1.07 
 71  60  85   68269325 1.98 
 72  57 109   61046792 1.86 
 73  59  87   15764726 0.22 
 74  49 151  159848027 3.37 
 75  55 146   72268844 1.97 
 76  52 140  215604513 3.98

 largo total: 3962
expansiones totales: 2159673028

promedio de largo por problema 59.134328358208954
promedio de expansiones por problema 32233925.791044775
